id,title,release_date,overview,tagline,runtime,genres,origin_country,rating,revenue,budget,popularity,vote_average,vote_count
785354,Alludu Adhurs,2021-01-14,"A love failure in high school prompts Sreenu to stay away from girls, but fate introduces him to the daughter of a notorious goon, with whom he falls in love immediately. However, his path to win over the girl of his dreams is far from as easy.",,150,"Romance, Comedy",IN,5.2,0,0,4.3858,5.2,9
981985,Beginning,2021-02-18,"A middle-aged couple gets settled in an isolated house, on a barely accessible mountain ridge. Ana's health condition led to this change of lifestyle, and the couple tries to cope with this new situation.",,77,,RO,8.0,0,0,4.6115,8.0,2
778624,Bipolar,2021-02-02,"A young lady comes to Lhasa alone for pilgrimage, but a ""multicolored magical lobster"" enshrined by other people has totally changed her plan. She made a decision to take the lobster home to the ocean, and this set her and the lobster on the journey cross half of China. During her journey, she comes cross many interesting characters and experiences. At the same time, memories, dreams, and hallucinations emerged intermittently.  The journey to set the lobster free came to an end in an unexpected way. She finally reached the most secret place in her heart.",,111,Drama,,7.0,0,0,4.2644,7.0,5
779221,Gatao: The Last Stray,2021-02-05,"A Qing encounters the photographer Xiao Qi at the full moon banquet of the daughter of the big brother Ren Ge at the corner of the Beiguan. They fall in love with each other. But, sadly, they aren't able to stay together at the end.",,120,"Crime, Action",TW,4.8,0,0,4.4757,4.8,10
611698,A Writer's Odyssey,2021-02-12,"Kongwen Lu is the author of a fantasy novel series following a heroic teenager, also named Kongwen, on a quest to end the tyrannical rule of Lord Redmane, under the guidance of a Black Armor. But through a strange twist of fate, the fantasy world of the novel begins to impact life in the real world, leading Guan Ning to accept a mission from Tu Ling to kill the author.",Rewrite the reality.,130,"Fantasy, Action, Adventure, Drama","CN, , CN",7.1,150123320,0,4.4027,7.1,329
1476863,宇多田ヒカル - One Last Kiss,2021-03-09,,,0,Music,,0.0,0,0,0.0071,0.0,0
952147,Madonna: Move to the Music,2021-03-09,"Madonna: the Queen of Pop. Every tune, dance step and decision over four decades has shaped today's contemporary musical landscape. Over a career that has lasted for decades, Madonna has ushered underground sounds and trends into the mainstream - she arrived at the dawn on the MTV music video era and utilised the medium to create a series of stylish, sexy clips that garnered her a reputation as a provocateur, whilst establishing the fledgling TV network as a hub for popular culture in the 1980s. Madonna is unstoppable, her impact on pop culture, undeniable, inspiring almost every other female act to come after her. Repeatedly re-inventing herself, she has changed the blueprint of how to be a successful woman in the music business in the process.",,62,"Documentary, Music","ES, GB",7.0,0,0,0.8246,7.0,1
1240351,荒野求生,2021-03-09,,,106,Adventure,,0.0,0,0,0.0,0.0,0
1027918,"Sin Titulo, 2020",2021-03-09,A woman and her grown daughter attempt to break quarantine in order to see her other daughter's newborn child.,,15,,,0.0,0,0,0.1659,0.0,0
956973,Strange Bedfellows,2021-03-09,"A portrait of a puppeteering couple quickly transforms into a self-reflexive meta movie involving the filmmaker and his romantic partner (overheard in phone conversations and acted out by puppets) thanks to an ingenious body-switch. The puppet becomes the puppet master, as older subject and younger author swap stories of romantic intimacy across generations, class perspectives and racial differences.",,11,Documentary,,0.0,0,0,0.0,0.0,0
983413,Echoes of the Empire: Beyond Genghis Khan,2021-03-09,"In this cinematic view of Mongolia’s past and present, film director & novelist Robert H. Lieberman and long-time creative collaborators PhotoSynthesis Productions take us inside this vast but little-known land.  New York Times best-selling author Jack Weatherford (“Genghis Khan and the Making of the Modern World”) delves into the extraordinary life and times of Genghis Khan. His Mongol Empire, which encompassed all of Asia, much of the Middle East and Europe continues to affect us even today.  The film’s soundtrack weaves from ancient throat singing to Russian-influenced opera to contemporary Mongolian rock.  Intimate stories told by Mongolians, from nomads to city dwellers, provide a rare insight into their psyches and the challenges they face in their post-Soviet world.",,76,Documentary,,0.0,0,0,0.0577,0.0,0
1150834,Space Race to SpaceX,2021-03-09,"In 1969, the first person set foot on the Moon, making history. Today, SpaceX brings us one step closer to the next giant leap for mankind. Join us as we look back at our history in space...from the Space Race, to SpaceX.","The Cold War leads to the Space Race between the rival United States and Soviet Union, and then billionaire entrepreneur Elon Musk founding SpaceX in 2002.",56,Documentary,,5.0,0,0,0.6443,5.0,1
